Original,Translated,Language
"Hello, how are you?","Hallo, wie geht's?",de
The weather is nice today.,Das Wetter ist heute schön.,de
"I would like a cup of coffee, please.","Ich hätte gern eine Tasse Kaffee, bitte.",de
Machine translation has improved significantly in recent years.,Maschinelle Übersetzung hat sich in den letzten Jahren deutlich verbessert.,de
This is a test of a multilingual translation system.,Dies ist ein Test für ein mehrsprachiges Übersetzungssystem.,de
"Hello, how are you?","Bonjour, comment allez-vous ?",fr
The weather is nice today.,Le temps est beau aujourd'hui.,fr
"I would like a cup of coffee, please.","Je voudrais une tasse de café, s'il vous plaît.",fr
Machine translation has improved significantly in recent years.,La traduction automatique s'est considérablement améliorée ces dernières années.,fr
This is a test of a multilingual translation system.,Il s'agit d'un test d'un système de traduction multilingue.,fr
"Hello, how are you?","Hola, ¿cómo estás?",es
The weather is nice today.,Hoy hace buen tiempo.,es
"I would like a cup of coffee, please.","Me gustaría una taza de café, por favor.",es
Machine translation has improved significantly in recent years.,La traducción automática ha mejorado significativamente en los últimos años.,es
This is a test of a multilingual translation system.,Esta es una prueba de un sistema de traducción multilingüe.,es
